Type,Word,Chapter,Start Verse,End Verse
Single,eventually,18,5,
Single,keeps,18,5,
Single,unjust,18,6,
Single,confident,18,9,
Single,adulterers,18,11,
Single,twice,18,12,
Single,breast,18,13,
Single,justified,18,14,
Single,babies,18,15,
Single,bringing,18,15,
Single,hinder,18,16,
Single,ruler,18,18,
Single,commandments,18,20,
Single,steal,18,20,
Single,sad,18,23,
Single,camel,18,25,
Single,needle,18,25,
Single,impossible,18,27,
Single,possible,18,27,
Single,sake,18,29,
Single,aside,18,31,
Single,mock,18,32,
Single,spit,18,32,
Single,flog,18,33,
Single,begging,18,35,
Single,roadside,18,35,
Single,short,19,3,
Single,climbed,19,4,
Single,sycamore-fig,19,4,
Single,spot,19,5,
Single,gladly,19,6,
Single,mutter,19,7,
Single,amount,19,8,
Single,anybody,19,8,
Single,cheated,19,8,
Single,appear,19,11,
Single,hated,19,14,
Single,subjects,19,14,
Single,gained,19,15,
Single,reaping,19,22,
Single,collected,19,23,
Single,deposit,19,23,
Single,interest,19,23,
Single,bethphage,19,29,
Single,ridden,19,30,
Single,owners,19,33,
Single,voices,19,37,
Single,embankment,19,43,
Single,encircle,19,43,
Single,hem,19,43,
Single,dash,19,44,
Single,recognize,19,44,
Single,walls,19,44,
Single,den,19,46,
Single,leaders,19,47,
Single,trying,19,47,
Single,persuaded,20,6,
Single,farmers,20,9,
Single,rented,20,9,
Single,shamefully,20,11,
Single,wounded,20,12,
Single,perhaps,20,13,
Single,heir,20,14,
Single,ours,20,14,
Single,forbid,20,16,
Single,builders,20,17,
Single,cornerstone,20,17,
Single,directly,20,17,
Single,arrest,20,19,
Single,pretended,20,20,
Single,sincere,20,20,
Single,accordance,20,21,
Single,partiality,20,21,
Single,questioned,20,21,
Single,truth,20,21,
Single,duplicity,20,23,
Single,denarius,20,24,
Single,image,20,24,
Single,inscription,20,24,
Single,public,20,26,
Single,sadducees,20,27,
Single,dies,20,28,
Single,offspring,20,28,
Single,bush,20,37,
Single,responded,20,39,
Single,dared,20,40,
Single,declares,20,42,
Single,footstool,20,43,
Single,banquets,20,46,
Single,beware,20,46,
Single,flowing,20,46,
Single,robes,20,46,
Single,devour,20,47,
Single,lengthy,20,47,
Single,prayers,20,47,
Single,severely,20,47,
Single,widows',20,47,
Single,treasury,21,1,
Single,copper,21,2,
Single,poverty,21,4,
Single,adorned,21,5,
Single,beautiful,21,5,
Single,dedicated,21,5,
Single,remarking,21,5,
Single,claiming,21,8,
Single,deceived,21,8,
Single,uprisings,21,9,
Single,wars,21,9,
Single,earthquakes,21,11,
Single,events,21,11,
Single,famines,21,11,
Single,fearful,21,11,
Single,pestilences,21,11,
Single,governors,21,12,
Single,seize,21,12,
Single,beforehand,21,14,
Single,adversaries,21,15,
Single,contradict,21,15,
Single,resist,21,15,
Single,betrayed,21,16,
Single,firm,21,19,
Single,win,21,19,
Single,armies,21,20,
Single,desolation,21,20,
Single,surrounded,21,20,
Single,distress,21,23,
Single,dreadful,21,23,
Single,mothers,21,23,
Single,nursing,21,23,
Single,moon,21,25,
Single,perplexity,21,25,
Single,roaring,21,25,
Single,stars,21,25,
Single,tossing,21,25,
Single,apprehensive,21,26,
Single,bodies,21,26,
Single,faint,21,26,
Single,terror,21,26,
Single,drawing,21,28,
Single,sprout,21,30,
Single,summer,21,30,
Single,anxieties,21,34,
Single,careful,21,34,
Single,carousing,21,34,
Single,drunkenness,21,34,
Single,weighed,21,34,
Single,escape,21,36,
Single,spend,21,37,
Single,approaching,22,1,
Single,rid,22,2,
Single,agreed,22,5,
Single,opportunity,22,6,
Single,lamb,22,7,
Single,sacrificed,22,7,
Single,enters,22,10,
